epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65105,1.84822,4.19164,0.02994,0.72253,0.08132,0.06397,0.0279,1.84419,3.64757,0.03793,0.00032963,0.00032963,0.00032963
2,14.8614,1.67862,3.20973,0.02513,0.17827,0.34626,0.19587,0.08743,1.83567,2.99605,0.03635,0.0006564,0.0006564,0.0006564
3,19.568,1.59681,2.59518,0.02434,0.51065,0.38326,0.34374,0.15207,1.65165,2.22157,0.03306,0.00097657,0.00097657,0.00097657
4,24.2067,1.58155,2.44995,0.0236,0.35217,0.45498,0.35648,0.16243,1.62451,2.31409,0.0325,0.0009703,0.0009703,0.0009703
5,28.8772,1.56134,2.31559,0.02355,0.54693,0.41938,0.37939,0.18218,1.68768,2.15696,0.03449,0.0009604,0.0009604,0.0009604
6,33.6017,1.55307,2.22816,0.02291,0.41783,0.44553,0.44195,0.22278,1.60383,1.98337,0.03137,0.0009505,0.0009505,0.0009505
7,38.2966,1.50918,2.10455,0.02225,0.51761,0.45206,0.48289,0.22885,1.61847,1.96296,0.03061,0.0009406,0.0009406,0.0009406
8,42.9151,1.51276,2.05776,0.02253,0.60308,0.45377,0.45908,0.23889,1.63575,2.02211,0.03314,0.0009307,0.0009307,0.0009307
9,47.6051,1.5205,2.02173,0.02235,0.47521,0.50214,0.48327,0.25297,1.56814,1.9442,0.02993,0.0009208,0.0009208,0.0009208
10,52.2152,1.48657,1.96694,0.02194,0.49562,0.51058,0.47642,0.23452,1.63114,1.94161,0.03304,0.0009109,0.0009109,0.0009109
11,56.9012,1.49739,1.90422,0.02228,0.4927,0.53532,0.53254,0.26305,1.60258,1.79648,0.03117,0.000901,0.000901,0.000901
12,61.5638,1.49002,1.902,0.0219,0.48491,0.51353,0.52649,0.27392,1.57452,1.78956,0.02999,0.0008911,0.0008911,0.0008911
13,66.147,1.47766,1.82968,0.02177,0.52423,0.5282,0.51326,0.27199,1.56347,1.75541,0.02972,0.0008812,0.0008812,0.0008812
14,70.7807,1.50924,1.82105,0.0224,0.50922,0.55727,0.55189,0.27849,1.60129,1.73145,0.03159,0.0008713,0.0008713,0.0008713
15,75.4875,1.50603,1.80684,0.02221,0.5089,0.57407,0.5739,0.30695,1.53175,1.67459,0.02985,0.0008614,0.0008614,0.0008614
16,80.1278,1.49384,1.77765,0.02231,0.54166,0.54573,0.55474,0.28658,1.6163,1.66904,0.03167,0.0008515,0.0008515,0.0008515
17,84.7621,1.48301,1.74105,0.02162,0.6768,0.57044,0.595,0.31504,1.51818,1.59932,0.02789,0.0008416,0.0008416,0.0008416
18,89.3902,1.47239,1.72498,0.02161,0.47582,0.52622,0.52433,0.278,1.60813,1.79472,0.02948,0.0008317,0.0008317,0.0008317
19,94.0034,1.46553,1.72179,0.02164,0.56224,0.57314,0.60778,0.32687,1.50843,1.57359,0.02864,0.0008218,0.0008218,0.0008218
20,98.5917,1.45876,1.7212,0.02172,0.55175,0.56796,0.59205,0.31847,1.52493,1.579,0.02925,0.0008119,0.0008119,0.0008119
21,103.181,1.46937,1.67362,0.02124,0.58635,0.51794,0.57499,0.30302,1.60588,1.65477,0.02988,0.000802,0.000802,0.000802
22,107.857,1.45305,1.64193,0.02159,0.58158,0.54849,0.59525,0.30724,1.61919,1.61968,0.03024,0.0007921,0.0007921,0.0007921
23,112.466,1.47965,1.62272,0.02196,0.57165,0.54584,0.59059,0.31078,1.60624,1.59046,0.03076,0.0007822,0.0007822,0.0007822
24,117.331,1.47064,1.62857,0.02163,0.59135,0.58238,0.62345,0.3228,1.60453,1.58027,0.02982,0.0007723,0.0007723,0.0007723
25,121.93,1.45918,1.59318,0.02178,0.63521,0.63482,0.65634,0.35183,1.52675,1.45092,0.02888,0.0007624,0.0007624,0.0007624
26,126.525,1.48304,1.61667,0.02167,0.6258,0.60527,0.64896,0.34104,1.59072,1.43598,0.03024,0.0007525,0.0007525,0.0007525
27,131.123,1.4498,1.57516,0.02112,0.59412,0.62028,0.62649,0.33466,1.60829,1.50754,0.03057,0.0007426,0.0007426,0.0007426
28,135.788,1.45012,1.5754,0.02117,0.59755,0.61985,0.62535,0.34137,1.5177,1.49214,0.02881,0.0007327,0.0007327,0.0007327
29,140.383,1.44196,1.55566,0.02124,0.65286,0.6033,0.64757,0.349,1.54904,1.4795,0.03006,0.0007228,0.0007228,0.0007228
30,144.954,1.45335,1.57082,0.02168,0.62263,0.62435,0.64475,0.35547,1.51973,1.46038,0.02881,0.0007129,0.0007129,0.0007129
31,149.535,1.41766,1.53816,0.02068,0.62797,0.6331,0.64903,0.35947,1.53802,1.41154,0.0294,0.000703,0.000703,0.000703
32,154.103,1.45711,1.55237,0.02141,0.57962,0.61596,0.62685,0.33117,1.59999,1.49729,0.03026,0.0006931,0.0006931,0.0006931
33,158.711,1.45058,1.52124,0.02131,0.62486,0.64112,0.67203,0.37133,1.52786,1.37104,0.02951,0.0006832,0.0006832,0.0006832
34,163.33,1.45518,1.52317,0.02116,0.64596,0.64672,0.67162,0.3703,1.5072,1.37669,0.02842,0.0006733,0.0006733,0.0006733
35,168.041,1.45215,1.53301,0.0215,0.60897,0.59369,0.62137,0.3212,1.62887,1.54333,0.03022,0.0006634,0.0006634,0.0006634
36,172.636,1.44808,1.50883,0.02114,0.63987,0.65538,0.68381,0.369,1.49375,1.36481,0.02861,0.0006535,0.0006535,0.0006535
37,177.27,1.44147,1.48032,0.02097,0.63301,0.6235,0.66024,0.36914,1.47448,1.38188,0.02787,0.0006436,0.0006436,0.0006436
38,181.841,1.42423,1.47992,0.02086,0.62846,0.63601,0.6596,0.35877,1.55042,1.42537,0.02943,0.0006337,0.0006337,0.0006337
39,186.551,1.43932,1.47462,0.0208,0.60374,0.63295,0.64621,0.34808,1.59175,1.42119,0.02957,0.0006238,0.0006238,0.0006238
40,191.285,1.42592,1.47685,0.02116,0.62644,0.65096,0.67137,0.37897,1.55492,1.35405,0.02915,0.0006139,0.0006139,0.0006139
41,195.911,1.40984,1.44615,0.02089,0.63519,0.64756,0.66861,0.35828,1.54877,1.39791,0.02954,0.000604,0.000604,0.000604
42,200.579,1.43693,1.47247,0.02088,0.6425,0.67948,0.69835,0.38635,1.51625,1.34576,0.02838,0.0005941,0.0005941,0.0005941
43,205.211,1.43668,1.45898,0.02074,0.6367,0.66297,0.69593,0.36343,1.55194,1.38833,0.02948,0.0005842,0.0005842,0.0005842
44,209.809,1.415,1.44742,0.02085,0.66798,0.66014,0.70873,0.37127,1.60705,1.31036,0.03015,0.0005743,0.0005743,0.0005743
